METASTATIC_SITE_RDN_MAP,ICD_BILLING_CODE
abdomen_biliary,197.8
abdomen_biliary,C78.89
abdomen_biliary,C78.80
abdomen_liver,197.7
abdomen_liver,C78.7
abdomen_liver,C7B.02
abdomen_midgut,197.4
abdomen_midgut,C78.4
abdomen_node,196.2
abdomen_node,C77.2
abdomen_peritoneum.serosa,197.6
abdomen_peritoneum.serosa,C78.6
abdomen_peritoneum.serosa,C7B.04
axilla_node,C77.3
axilla_node,196.3
chest_breast,C79.81
chest_breast,198.81
chest_lung,197.0
chest_lung,C78.00
chest_lung,C78.01
chest_lung,C78.02
chest_pleura.serosa,197.2
chest_pleura.serosa,C78.2
chest_unknown,C78.3
head_cns,C79.31
head_cns,198.3
head_cns,198.4
lowerExtremity_node,196.5
lowerExtremity_node,C77.4
mediastinum_foregut,C78.1
mediastinum_foregut,197.1
mediastinum_node,196.1
mediastinum_node,C77.1
meninges,C79.32
neck_node,C77.0
neck_node,196.0
neck_respiratoryTract,C78.3
neck_respiratoryTract,C78.30
neck_respiratoryTract,C78.39
neck_respiratoryTract,197.3
pelvis_bladder,C79.11
pelvis_femaleGenital,C79.82
pelvis_femaleGenital,198.82
pelvis_hindgut,197.5
pelvis_hindgut,C78.5
pelvis_maleGenital,C79.82
pelvis_maleGenital,198.82
pelvis_node,C77.5
pelvis_node,196.6
pelvis_ovary,C79.60
pelvis_ovary,C79.61
pelvis_ovary,C79.62
pelvis_ovary,198.6
pelvis_urinaryTract,198.1
pelvis_urinaryTract,C79.10
pelvis_urinaryTract,C79.19
retroperitoneum_adrenal,C79.70
retroperitoneum_adrenal,C79.71
retroperitoneum_adrenal,C79.72
retroperitoneum_adrenal,198.7
retroperitoneum_kidney,198.0
retroperitoneum_kidney,C79.01
retroperitoneum_kidney,C79.02
retroperitoneum_urinaryTract,C79.00
undeterminate_bone,C7B.03
undeterminate_bone,C79.51
undeterminate_bone,C79.52
undeterminate_bone,198.5
undeterminate_nerve,C79.40
undeterminate_nerve,C79.49
undeterminate_node,196.8
undeterminate_node,196.9
undeterminate_node,C77.8
undeterminate_node,C77.9
undeterminate_node,C7B.01
undeterminate_skin,198.2
undeterminate_skin,C79.2
undeterminate_unknown,C7B.00
undeterminate_unknown,C7B.09
undeterminate_unknown,C79.89
undeterminate_unknown,C79.9
undeterminate_unknown,198.89
undeterminate_unknown,C7B.8
undeterminate_unknown,C7B.1
